School,StateRank,Name,RivalsRanking,NationalRank,Height,Weight,FortyTime,Location,Stars,Year,Position,HighSchool,ImgURL,PostionRank
Brigham Young,Unranked,Curtis Brown,0.0,Unranked,"6'0""",185,4.50,"Lancaster, CA",Unevaluated,2002,RB,Paraclete,,Unranked
Brigham Young,Unranked,Daniel Coats,0.0,Unranked,"6'3""",212,4.73,"Layton, UT",Unevaluated,2002,ATH,Northridge,"<img src=""http://l.yimg.com/a/p/sp/r/db/dbb8d7ec551592931c63e310629b64d6/danielcoats.jpg"">",Unranked
Brigham Young,Unranked,Tyson Dunham,0.0,Unranked,"6'2""",190,0.00,"St. George, UT",Unevaluated,2002,,Dixie State C.C.,,Unranked
Brigham Young,Unranked,Jonathan Fanene,0.0,Unranked,"6'4""",260,4.90,"Santa Clarita, CA",Unevaluated,2002,DT,College of the Canyons,,Unranked
Brigham Young,Unranked,Ferron Fonoimoana,0.0,Unranked,"5'9""",175,4.50,"Kuhuku, HI",Unevaluated,2002,WR,,,Unranked
Brigham Young,Unranked,Paulo Fuaalii,0.0,Unranked,"6'2""",240,4.65,"Kearns, UT",Unevaluated,2002,LB,,,Unranked
Brigham Young,Unranked,Andrew George,0.0,Unranked,"6'5""",225,4.40,"Aurora, CO",Unevaluated,2002,TE,Cherry Creek,,67
Brigham Young,Unranked,Jonny Harline,0.0,Unranked,"6'4""",215,0.00,"Orem, UT",Unevaluated,2002,TE,Ricks JC,,Unranked
Brigham Young,Unranked,Nate Hutchinson,0.0,Unranked,"6'2""",180,0.00,"George, UT",Unevaluated,2002,DB,Pine View HS,,Unranked
Brigham Young,Unranked,Travonne Jackson,0.0,Unranked,"5'11""",181,0.00,"Los Angeles, CA",Unevaluated,2002,WR,Thomas Jefferson,,Unranked
Brigham Young,Unranked,Bryan Kehl,0.0,Unranked,"6'2""",225,0.00,"Brighton, UT",Unevaluated,2002,LB,,,Unranked
Brigham Young,Unranked,Jake Kuresa,0.0,Unranked,"6'4""",305,4.90,"Hyrum, UT",Unevaluated,2002,DT,Mountain Crest,"<img src=""http://l.yimg.com/a/p/sp/r/1b/1be76892d421de7862bf928832561f45/jakekuresa.gif"">",24
Brigham Young,Unranked,Shawn Nu'a,0.0,Unranked,"6'6""",275,5.00,"Mesa, AZ",Unevaluated,2002,DT,Mesa C.C.,,Unranked
Brigham Young,Unranked,Mulivai Pula,0.0,Unranked,"5'11""",215,0.00,"Kahuku, HI",Unevaluated,2002,RB,Kahuku,,Unranked
Brigham Young,Unranked,Aaron Singh,0.0,Unranked,"5'11""",192,4.51,"Carlsbad, CA",Unevaluated,2002,RB,,,Unranked
Brigham Young,Unranked,Thomas Stancil,0.0,Unranked,"5'7""",160,4.40,"Bakersfield, CA",Unevaluated,2002,RB,,,Unranked
Brigham Young,Unranked,William Tukuafu,0.0,Unranked,"6'3""",230,4.70,"Salt Lake City, UT",Unevaluated,2002,DE,East,,85
Brigham Young,Unranked,Taufui Vakapuna,0.0,Unranked,"6'0""",215,4.50,"Salt Lake City, UT",Unevaluated,2002,RB,East,,19
Brigham Young,Unranked,Walter Williams,0.0,Unranked,"6'1""",180,4.50,"Thatcher, AZ",Unevaluated,2002,DB,Eastern Arizona J.C.,,Unranked
Brigham Young,Unranked,Scott Young,0.0,Unranked,"6'5""",305,4.90,"Saint George, UT",Unevaluated,2002,DT,Dixie State C.C.,,Unranked
Toledo,Unranked,D.C. Alexander,5.0,Unranked,"6'2""",210,0.00,"Canton, OH",Unevaluated,2007,DE,McKinley,,Unranked
Toledo,Unranked,Sean Berry,5.3,Unranked,"6'6""",310,5.20,"Irvington, NJ",Unevaluated,2007,OL,Irvington,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/SEANBERRY7_25150.JPG"">",Unranked
Toledo,Unranked,Matt Bradbury,5.1,Unranked,"6'5""",275,0.00,"Elmhurst, IL",Unevaluated,2007,OL,York,,Unranked
Toledo,Unranked,Brett Brodbeck,5.0,Unranked,"6'0""",170,0.00,"Franklin, TN",Unevaluated,2007,K,Battle Ground Academy,,Unranked
Toledo,71,Travaris Cadet,5.6,Unranked,"6'0""",193,4.40,"Miami, FL",Unevaluated,2007,QB,Central,"<img src=""http://vmedia.rivals.com/IMAGES/Camper/PHOTO/TRAVARISCADETNIKE150.JPG"">",19
Toledo,Unranked,Tim Cortazzo,5.1,Unranked,"6'1""",185,4.40,"Irwin, PA",Unevaluated,2007,WR,Penn Trafford,"<img src=""http://vmedia.rivals.com/IMAGES/Camper/PHOTO/TIMCORTAZZOPANIKE150.JPG"">",Unranked
Toledo,26,Kaunda Hancock,5.5,Unranked,"5'11""",182,4.60,"Birmingham, MI",Unevaluated,2007,WR,Brother Rice,"<img src=""http://vmedia.rivals.com/IMAGES/Camper/PHOTO/KAUNDAHANCOCKNIKE150.JPG"">",Unranked
Toledo,Unranked,Jerome Jones,5.0,Unranked,"6'7""",220,0.00,"Youngstown, OH",Unevaluated,2007,TE,Harmony Prep,,Unranked
Toledo,Unranked,Kevin Kowalski,5.1,Unranked,"6'4""",270,5.10,"Macedonia, OH",Unevaluated,2007,OL,Nordonia,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/KEVINKOWALSKI6_1150.JPG"">",Unranked
Toledo,40,D.J. Lenehan,5.5,Unranked,"6'3""",190,4.63,"Easton, PA",Unevaluated,2007,QB,Wilson Area,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/DJLENEHAN3_6150.JPG"">",Unranked
Toledo,Unranked,Tamawi McGhee,5.1,Unranked,"6'1""",190,4.40,"Steubenville, OH",Unevaluated,2007,RB,Steubenville,,Unranked
Toledo,Unranked,Danny Noble,5.1,Unranked,"6'5""",220,0.00,"Elyria, OH",Unevaluated,2007,TE,Elyria,,Unranked
