School,StateRank,Name,RivalsRanking,NationalRank,Height,Weight,FortyTime,Location,Stars,Year,Position,HighSchool,ImgURL,PostionRank
UNLV,Unranked,C.J. Backlund,5.3,Unranked,"6'3""",285,0.00,"Hayward, CA",Unevaluated,2013,OL,Chabot C.C.,,Unranked
UNLV,Unranked,Nicolai Bornand,5.2,Unranked,"6'1""",230,5.19,"Goleta, CA",Unevaluated,2013,LB,Dos Pueblos,,Unranked
UNLV,8,Devonte Boyd,5.4,Unranked,"6'1""",172,4.59,"Henderson, NV",Unevaluated,2013,WR,Basic,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/DEVANTE-BOYD-(2)_150_2_7.JPG"">",Unranked
UNLV,Unranked,Efrem Clark,5.3,Unranked,"6'3""",265,0.00,"Athens, TX",Unevaluated,2013,DE,Trinity Valley C.C.,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/EFREM-CLARK_4_20_150.JPG"">",Unranked
UNLV,Unranked,Damon Collins,5.2,Unranked,"5'11""",180,0.00,"Pleasant Hill, CA",Unevaluated,2013,DB,Diablo Valley C.C.,,Unranked
UNLV,Unranked,Malo Feula,5.2,Unranked,"6'0""",235,0.00,"American Samoa, NA",Unevaluated,2013,LB,Tafuna,,Unranked
UNLV,Unranked,Niko Kapeli,5.3,Unranked,"5'8""",205,4.73,"Henderson, NV",Unevaluated,2013,RB,Liberty,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/NIKO-KAPELI_150.JPG"">",Unranked
UNLV,Unranked,Jack Killian,5.2,Unranked,"6'0""",195,0.00,"Stockton, CA",Unevaluated,2013,WR,San Joaquin Delta C.C.,,Unranked
UNLV,Unranked,Asten Koki,5.3,Unranked,"6'3""",255,0.00,"Walnut, CA",Unevaluated,2013,DT,Mt. San Antonio C.C.,,Unranked
UNLV,Unranked,Jared Lebowitz,5.3,Unranked,"6'3""",195,4.70,"La Canada, CA",Unevaluated,2013,QB,St. Francis,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/JAREDLEBOWITZ405_10_21_150.JPG"">",Unranked
UNLV,Unranked,Chris Lopez,5.2,Unranked,"6'4""",285,0.00,"San Marcos, CA",Unevaluated,2013,OL,Mission Hills,,Unranked
UNLV,Unranked,Torry McTyer,5.5,Unranked,"6'1""",176,4.44,"Los Angeles, CA",Unevaluated,2013,ATH,Cathedral,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/TMCTYRE-150X200.JPG"">",Unranked
UNLV,Unranked,David Moffitt,5.6,Unranked,"6'2""",205,4.70,"Concord, CA",Unevaluated,2013,LB,De La Salle,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/DAVID-MOFFITT_257_150.JPG"">",Unranked
UNLV,Unranked,Pingi Moli,5.3,Unranked,"6'4""",250,0.00,"Walnut, CA",Unevaluated,2013,DE,Mt. San Antonio C.C.,,Unranked
UNLV,Unranked,Jacobie Russell,5.4,Unranked,"6'4""",225,0.00,"Galena Park, TX",Unevaluated,2013,TE,North Shore (Galena Park ),,Unranked
