School,StateRank,Name,RivalsRanking,NationalRank,Height,Weight,FortyTime,Location,Stars,Year,Position,HighSchool,ImgURL,PostionRank
South Florida,Unranked,Zach Benjamin,5.5,Unranked,"6'4""",187,0.00,"Tampa, FL",Unevaluated,2013,WR,Tampa Catholic,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/IMG_0389_5_14_-COPY.JPG"">",Unranked
South Florida,44,Derrick Calloway,5.8,Unranked,"6'1""",310,0.00,"Bradenton, FL",Unevaluated,2013,DT,Manatee,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/DERRICK-CALLOWAY-(2)_150_12_17.JPG"">",18
South Florida,Unranked,Hassan Childs,5.5,Unranked,"6'1""",170,0.00,"Kissimmee, FL",Unevaluated,2013,DB,Osceola,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/HASSAN-CHILDS_150_4_16.JPG"">",Unranked
South Florida,Unranked,Nate Godwin,5.6,Unranked,"6'0""",190,4.49,"Tampa, FL",Unevaluated,2013,DB,Freedom,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/NATE-GODWIN_150_6_8.JPG"">",49
South Florida,28,Jeremi Hall,5.7,Unranked,"6'4""",335,5.70,"East Point, GA",Unevaluated,2013,OL,Tri Cities,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/JERIMI-HALL6_150_3_27.JPG"">",20
South Florida,Unranked,Nigel Harris,5.6,Unranked,"6'1""",200,0.00,"Tampa, FL",Unevaluated,2013,LB,Hillsborough,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/NIGELHARRIS2013RAW_150_7_19.JPG"">",Unranked
South Florida,Unranked,Bruce Hector,5.3,Unranked,"6'2""",270,0.00,"Tampa, FL",Unevaluated,2013,DT,Robinson,,Unranked
South Florida,Unranked,Mike Love,5.6,Unranked,"6'3""",210,0.00,"Clearwater, FL",Unevaluated,2013,DE,Countryside,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/MIKE-LOVE_150_5_3.JPG"">",37
South Florida,Unranked,Eric Mayes,5.5,Unranked,"6'4""",240,0.00,"Sarasota, FL",Unevaluated,2013,DE,Booker,,Unranked
South Florida,Unranked,Stafon McCray,5.5,Unranked,"5'11""",196,4.72,"Kissimmee, FL",Unevaluated,2013,RB,Osceola,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/STAFON-MCCRAY-3_150_3_8.JPG"">",Unranked
South Florida,Unranked,Emilio Nadelman,5.4,Unranked,"5'9""",180,0.00,"Miami, FL",Unevaluated,2013,K,Miami Central,,Unranked
South Florida,49,Lamar Robbins,5.8,Unranked,"6'3""",188,0.00,"Miami, FL",Unevaluated,2013,DB,Southridge,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/LAMAR-ROBBINS_11_18_150.JPG"">",32
South Florida,Unranked,Cameron Ruff,5.5,Unranked,"6'4""",295,0.00,"Tampa, FL",Unevaluated,2013,OL,Jesuit,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/CAMERONRUFF3_150_5_14.JPG"">",Unranked
South Florida,Unranked,Torrel Saffold,5.4,Unranked,"5'11""",180,0.00,"El Dorado, KS",Unevaluated,2013,DB,Butler County C.C.,,Unranked
South Florida,Unranked,Auggie Sanchez,5.4,Unranked,"6'2""",215,0.00,"St. Petersburg, FL",Unevaluated,2013,DE,Northeast,,Unranked
South Florida,79,Deadrin Senat,5.7,Unranked,"6'1""",311,0.00,"Immokalee, FL",Unevaluated,2013,DT,Immokalee,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/IMG_7940_150_1_18.JPG"">",44
South Florida,Unranked,Rahmon Swain,5.6,Unranked,"6'2""",225,4.50,"El Dorado, KS",Unevaluated,2013,LB,Butler County C.C.,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/RAHMON-SWAIN_7_9_150.JPG"">",Unranked
South Florida,Unranked,Kennard Swanson,5.6,Unranked,"6'0""",245,0.00,"Lakeland, FL",Unevaluated,2013,RB,Lake Gibson,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/KENNARD-SWANSON_150_2_5.JPG"">",2
South Florida,Unranked,Dominique Threatt,5.6,Unranked,"6'2""",294,0.00,"East Point, GA",Unevaluated,2013,DT,Tri Cities,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/2012_ELITE100_GA-114_150.JPG"">",Unranked
South Florida,Unranked,Darius Tice,5.4,Unranked,"5'10""",200,0.00,"Miami, FL",Unevaluated,2013,RB,Northwestern,,Unranked
South Florida,Unranked,Johnny Ward,5.3,Unranked,"5'11""",160,0.00,"Moultrie, GA",Unevaluated,2013,DB,Colquitt County,,Unranked
South Florida,Unranked,Mike White,5.5,Unranked,"6'5""",195,4.80,"Fort Lauderdale, FL",Unevaluated,2013,QB,University School,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/MIKE-WHITE_1_8_150.JPG"">",Unranked
South Florida,Unranked,Darius Whitty,5.5,Unranked,"6'1""",180,0.00,"Jacksonville, FL",Unevaluated,2013,DB,First Coast,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/DARIUS-WHITTY_150_5_9.JPG"">",Unranked
South Florida,Unranked,Mitchell Wright,5.5,Unranked,"6'3""",210,0.00,"Tampa, FL",Unevaluated,2013,LB,Plant,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/MITCHELL-WRIGHT_7_24_150.JPG"">",Unranked
Troy,Unranked,Arie Anderson,5.5,Unranked,"6'1""",275,0.00,"Millbrook, AL",Unevaluated,2013,DT,Stanhope Elmore,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/AIREANDERSON_150_6_25.JPG"">",Unranked
Troy,Unranked,Joshua Anderson,5.2,Unranked,"5'11""",230,0.00,"Douglasville, GA",Unevaluated,2013,RB,South Paulding,,Unranked
Troy,Unranked,Johnathan Boring,5.2,Unranked,"6'4""",263,5.28,"Lexington, SC",Unevaluated,2013,OL,Lexington,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/2012_ELITE100_SC-2346_150.JPG"">",Unranked
Troy,Unranked,Jordan Chunn,5.4,Unranked,"6'0""",211,0.00,"Gurley, AL",Unevaluated,2013,RB,Madison County,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/JORDAN-CHUNN_7_1_150.JPG"">",Unranked
Troy,Unranked,Jaylen Daniels,5.2,Unranked,"6'3""",205,0.00,"Vienna, GA",Unevaluated,2013,DE,Dooly County,,Unranked
Troy,Unranked,Taylor Driggers,5.4,Unranked,"6'2""",255,4.81,"Brantley, AL",Unevaluated,2013,DE,Brantley,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/TAYLOR-DRIGGERS-5_7_24_150.JPG"">",Unranked
Troy,Unranked,Taylor Edwards,5.4,Unranked,"6'4""",290,0.00,"Water Valley, MS",Unevaluated,2013,OL,Water Valley,,Unranked
Troy,Unranked,Xavier Fields,5.4,Unranked,"6'4""",345,0.00,"Montgomery, AL",Unevaluated,2013,OL,Stanhope Elmore,,Unranked
Troy,Unranked,David Gross,5.4,Unranked,"6'6""",295,5.10,"Montgomery, AL",Unevaluated,2013,OL,Trinity,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/2012-ELITE-100---ALABAMA-012_150.JPG"">",Unranked
Troy,Unranked,Dondrell Harris,5.4,Unranked,"5'11""",180,0.00,"Panama City, FL",Unevaluated,2013,ATH,Rutherford,,Unranked
Troy,Unranked,Jalen Harris,5.3,Unranked,"6'0""",170,0.00,"Dothan, AL",Unevaluated,2013,ATH,Northview,,Unranked
Troy,Unranked,Antonio Johnson,5.2,Unranked,"6'1""",201,0.00,"Hutchinson, KS",Unevaluated,2013,WR,Hutchinson C.C.,,Unranked
Troy,Unranked,Sam Lebbie,5.6,Unranked,"6'2""",240,0.00,"Dawsonville, GA",Unevaluated,2013,LB,Atlanta Sports Academy,,Unranked
Troy,Unranked,Tim Longmire,5.5,Unranked,"6'0""",195,0.00,"Tallahassee, FL",Unevaluated,2013,RB,Godby,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/TIM-LONGMIRE_150_2_26.JPG"">",Unranked
Troy,Unranked,Cardell Lue,5.2,Unranked,"6'0""",185,0.00,"Carrollton, TX",Unevaluated,2013,DB,Hebron,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/CARDELL-LUE01_9_18_150.JPG"">",Unranked
Troy,Unranked,Julius McCall,5.4,Unranked,"5'9""",161,4.68,"Chelsea, AL",Unevaluated,2013,RB,Chelsea School,,Unranked
Troy,Unranked,Zach Moore,5.2,Unranked,"6'1""",200,0.00,"Douglas, GA",Unevaluated,2013,LB,Coffee County,,Unranked
Troy,Unranked,Keoin Payne,5.2,Unranked,"5'10""",175,0.00,"Hutchinson, KS",Unevaluated,2013,DB,Hutchinson C.C.,,Unranked
Troy,Unranked,Clark Quisenberry,5.4,Unranked,"6'3""",205,0.00,"Enterprise, AL",Unevaluated,2013,WR,Enterprise,,Unranked
Troy,Unranked,Seth Roberts,5.2,Unranked,"6'4""",250,0.00,"Ariton, AL",Unevaluated,2013,DT,Ariton,,Unranked
Troy,Unranked,Bryan Slater,5.4,Unranked,"6'1""",268,0.00,"Mobile, AL",Unevaluated,2013,DE,St. Paul's,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/BRYAN-SLATER_150_4_2.JPG"">",Unranked
Troy,Unranked,Montavious Smoke,5.4,Unranked,"6'1""",182,0.00,"Millbrook, AL",Unevaluated,2013,DB,Stanhope Elmore,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/MONTAVIOUS-SMOKE_150.JPG"">",Unranked
Troy,Unranked,Jevius Terry,5.4,Unranked,"5'9""",160,4.49,"McDonough, GA",Unevaluated,2013,DB,Eagle's Landing,,Unranked
UCF,Unranked,Deondre Barnett,5.4,Unranked,"6'3""",215,0.00,"Cocoa, FL",Unevaluated,2013,LB,Cocoa,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/DEONDRE-BARNETT_6_30_150.JPG"">",Unranked
UCF,Unranked,Jake Berman,5.4,Unranked,"6'1""",228,4.62,"Naples, FL",Unevaluated,2013,LB,Barron Collier,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/JAKE-BERMAN_9_24_150.JPG"">",Unranked
UCF,Unranked,Chequan Burkett,5.5,Unranked,"6'2""",203,0.00,"Montogmery, AL",Unevaluated,2013,DB,Carver,,Unranked
UCF,Unranked,Pete Dinovo,5.6,Unranked,"6'3""",205,4.68,"Tarpon Springs, FL",Unevaluated,2013,QB,East Lake,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/IMG_7960_150_1_18.JPG"">",Unranked
UCF,Unranked,Aaron Evans,5.4,Unranked,"6'5""",270,0.00,"Seffner, FL",Unevaluated,2013,OL,Armwood,,Unranked
UCF,Unranked,Shaquem Griffin,5.5,Unranked,"6'1""",183,4.65,"St. Petersburg, FL",Unevaluated,2013,DB,Lakewood,,Unranked
UCF,Unranked,Shaquill Griffin,5.6,Unranked,"6'0""",184,4.59,"St. Petersburg, FL",Unevaluated,2013,DB,Lakewood,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/SHAQ-GIRFFIN_150_5_3.JPG"">",57
UCF,Unranked,Tony Guerad,5.4,Unranked,"6'4""",250,0.00,"Tampa, FL",Unevaluated,2013,DE,Tampa Bay Tech,,Unranked
UCF,Unranked,Tate Hernly,5.5,Unranked,"6'3""",270,0.00,"Fort Myers, FL",Unevaluated,2013,OL,Fort Myers,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/TATE-HERNLY_150_1_1.JPG"">",20
UCF,Unranked,Justin Holman,5.5,Unranked,"6'3""",190,0.00,"Stone Mountain, GA",Unevaluated,2013,QB,Stephenson,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/2012_ELITE100_GA-096_150.JPG"">",Unranked
UCF,Unranked,Jamonte Jones,5.3,Unranked,"5'9""",180,4.40,"Ocala, FL",Unevaluated,2013,DB,Trinity Catholic,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/IMG_0478_5_14_-COPY.JPG"">",Unranked
UCF,Unranked,Blake Keller,5.6,Unranked,"6'2""",215,0.00,"Bradenton, FL",Unevaluated,2013,DE,Manatee,,Unranked
UCF,Unranked,D.J. Killings,5.5,Unranked,"5'11""",182,0.00,"Jacksonville, FL",Unevaluated,2013,DB,First Coast,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/D.J_150_2_27.JPG"">",Unranked
UCF,Unranked,Seyvon Lowry,5.6,Unranked,"6'3""",225,4.80,"Jacksonville, FL",Unevaluated,2013,DE,First Coast,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/SEYVON-LOWRY_150_5_9.JPG"">",40
UCF,63,Mario Mathis,5.6,Unranked,"6'2""",245,4.62,"Thomasville, GA",Unevaluated,2013,LB,Thomasville,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/2013MATHIS-MARIO_7_22_150.JPG"">",47
UCF,Unranked,Justin McDonald,5.4,Unranked,"6'2""",210,0.00,"Lauderdale Lakes, FL",Unevaluated,2013,DB,Boyd Anderson,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/JUSTIN-MCDONALD_150_.JPG"">",Unranked
UCF,Unranked,Micah Reed,5.6,Unranked,"5'11""",182,0.00,"Crestview, FL",Unevaluated,2013,RB,Crestview,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/MICAH-REED_150_5_18.JPG"">",Unranked
UCF,Unranked,Will Stanback,5.2,Unranked,"6'1""",212,0.00,"Uniondale, NY",Unevaluated,2013,ATH,Uniondale,,Unranked
UCF,Unranked,Dontravious Wilson,5.4,Unranked,"5'11""",220,0.00,"Buford, GA",Unevaluated,2013,RB,Buford,,Unranked
Buffalo,Unranked,Blake Bean,5.2,Unranked,"6'1""",235,0.00,"El Dorado, KS",Unevaluated,2013,LB,Butler County C.C.,,Unranked
Buffalo,Unranked,James Coleman,5.3,Unranked,"6'3""",195,0.00,"Queen's Village, NY",Unevaluated,2013,DB,Christ The King,,Unranked
Buffalo,Unranked,Brandon Crawford,5.3,Unranked,"6'3""",228,4.78,"Madison, FL",Unevaluated,2013,DE,Madison,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/BRANDON-CRAWFORD_150_12_10.JPG"">",Unranked
Buffalo,Unranked,Andrews Dadeboe,5.2,Unranked,"5'11""",180,0.00,"York, PA",Unevaluated,2013,DB,Central York,,Unranked
Buffalo,Unranked,Xavier Davis,5.2,Unranked,"6'2""",280,0.00,"Atlanta, GA",Unevaluated,2013,DT,Carver,,Unranked
Buffalo,27,Jamarl Eiland,5.5,Unranked,"5'11""",175,0.00,"Canton, MI",Unevaluated,2013,WR,Plymouth,,Unranked
Buffalo,Unranked,Chris Ford,5.2,Unranked,"6'3""",300,0.00,"Medina, OH",Unevaluated,2013,DT,Medina,,Unranked
Buffalo,Unranked,Jarrett Franklin,5.2,Unranked,"6'3""",205,0.00,"St. Charles, MO",Unevaluated,2013,LB,Francis Howell School,,Unranked
Buffalo,Unranked,Houston Glass,5.3,Unranked,"6'1""",190,4.55,"Grand Rapids, MI",Unevaluated,2013,DB,East Kentwood,"<img src=""http://vmedia.rivals.com/IMAGES/PROSPECT/PHOTO/HOUSTON-GLASS-2013_8_7_150.JPG"">",Unranked
Buffalo,Unranked,Corbin Grassman,5.2,Unranked,"6'2""",215,0.00,"Alexandria, OH",Unevaluated,2013,OL,Johnstown Monroe,,Unranked
Buffalo,Unranked,Solomon Jackson,5.3,Unranked,"6'2""",230,0.00,"Tucker, GA",Unevaluated,2013,DE,Tucker,,Unranked
